Time,Jylland + Fyn,Sjælland + Øer
2026-06-24 03:00,1.35,1.35
2026-06-24 04:00,1.37,1.35
2026-06-24 05:00,1.43,1.42
2026-06-24 06:00,1.68,1.67
2026-06-24 07:00,1.63,1.62
2026-06-24 08:00,1.40,1.37
2026-06-24 09:00,1.11,1.10
2026-06-24 10:00,0.95,0.93
2026-06-24 11:00,0.78,0.76
2026-06-24 12:00,0.67,0.65
2026-06-24 13:00,0.64,0.62
2026-06-24 14:00,0.67,0.65
2026-06-24 15:00,0.80,0.79
2026-06-24 16:00,1.01,1.00
2026-06-24 17:00,1.20,1.19
2026-06-24 18:00,1.84,1.83
2026-06-24 19:00,4.37,4.30
2026-06-24 20:00,6.50,6.39
2026-06-24 21:00,6.48,6.36
2026-06-24 22:00,4.52,4.44
2026-06-24 23:00,2.53,2.48
